Seed that used in this expierment is: -1582909607
Seed that used for infection in this expierment is: -1298893679
Seed that used for death in this expierment is: 50265953
Seed that used for infection in this expierment is: -188726123
Seed that used for death in this expierment is: -1258531023
Seed that used for infection in this expierment is: 843496445
Seed that used for death in this expierment is: 1152504359
Seed that used for infection in this expierment is: -1778889379
Seed that used for death in this expierment is: 228376839
Seed that used for infection in this expierment is: 1012383763
Seed that used for death in this expierment is: -51300471
Seed that used for infection in this expierment is: -1219797155
Seed that used for death in this expierment is: -1228447833
Seed that used for infection in this expierment is: 869118691
Seed that used for death in this expierment is: -1983902457
Seed that used for infection in this expierment is: 77682173
Seed that used for death in this expierment is: -845838605
Seed that used for infection in this expierment is: -2068768671
Seed that used for death in this expierment is: 1909328419
Seed that used for infection in this expierment is: 22324989
Seed that used for death in this expierment is: 1626342667
Seed that used for infection in this expierment is: -1325052229
Seed that used for death in this expierment is: 932798529
Seed that used for infection in this expierment is: -201267451
Seed that used for death in this expierment is: -1404974373
Seed that used for infection in this expierment is: 1984749475
Seed that used for death in this expierment is: 1752078433
Seed that used for infection in this expierment is: -740719217
Seed that used for death in this expierment is: 1144169081
Seed that used for infection in this expierment is: 1565596495
Seed that used for death in this expierment is: 390956457
Seed that used for infection in this expierment is: -576128787
Seed that used for death in this expierment is: -923960729
Seed that used for infection in this expierment is: -1423345573
Seed that used for death in this expierment is: 492703401
Seed that used for infection in this expierment is: -1030989939
Seed that used for death in this expierment is: 790970647
Seed that used for infection in this expierment is: 218638547
Seed that used for death in this expierment is: -400313611
Seed that used for infection in this expierment is: 272314661
Seed that used for death in this expierment is: -1633047547
Seed that used for infection in this expierment is: -1474210671
Seed that used for death in this expierment is: 991071985
Seed that used for infection in this expierment is: 299438693
Seed that used for death in this expierment is: -255843869
Seed that used for infection in this expierment is: -1840414179
Seed that used for death in this expierment is: 1711402977
Seed that used for infection in this expierment is: -1965207843
Seed that used for death in this expierment is: 1759272181
Seed that used for infection in this expierment is: 1746065519
Seed that used for death in this expierment is: 1346276799
Seed that used for infection in this expierment is: 718432279
Seed that used for death in this expierment is: -84636963
Seed that used for infection in this expierment is: -498257537
Seed that used for death in this expierment is: 989384651
Seed that used for infection in this expierment is: 22412143
Seed that used for death in this expierment is: 1372318389
Seed that used for infection in this expierment is: -526422613
Seed that used for death in this expierment is: 2114585183
Seed that used for infection in this expierment is: 785635977
Seed that used for death in this expierment is: 330797151
Seed that used for infection in this expierment is: 209562499
Seed that used for death in this expierment is: 926804313
Seed that used for infection in this expierment is: 20536629
Seed that used for death in this expierment is: -413810499
Seed that used for infection in this expierment is: 1404878437
Seed that used for death in this expierment is: -2060019175
Seed that used for infection in this expierment is: 400879821
Seed that used for death in this expierment is: 2004155047
Seed that used for infection in this expierment is: 1027397517
Seed that used for death in this expierment is: 412482765
Seed that used for infection in this expierment is: 1696381261
Seed that used for death in this expierment is: 1140632041
Seed that used for infection in this expierment is: -217097741
Seed that used for death in this expierment is: -1056522389
Seed that used for infection in this expierment is: 1091763933
Seed that used for death in this expierment is: -1525510911
Seed that used for infection in this expierment is: 817177301
Seed that used for death in this expierment is: 1643213485
Seed that used for infection in this expierment is: -2096002853
Seed that used for death in this expierment is: -1653364155
Seed that used for infection in this expierment is: 1621530509
Seed that used for death in this expierment is: -1759151789
Seed that used for infection in this expierment is: -1529908083
Seed that used for death in this expierment is: 458811987
Seed that used for infection in this expierment is: -1358106893
Seed that used for death in this expierment is: 1722562253
Seed that used for infection in this expierment is: -1269445691
Seed that used for death in this expierment is: 1847808891
Seed that used for infection in this expierment is: 2132617505
Seed that used for death in this expierment is: 2056718421
Seed that used for infection in this expierment is: -918366069
Seed that used for death in this expierment is: -891568823
Seed that used for infection in this expierment is: 1672595961
Seed that used for death in this expierment is: 2146329021
Seed that used for infection in this expierment is: 1848473789
Seed that used for death in this expierment is: -105639
Seed that used for infection in this expierment is: -1753512741
Seed that used for death in this expierment is: 1806451677
